Index,Job_history,Job_type
19,implement department reimbursement expense process report use workday financial data management coordinate marketing brand project well oversee project allocation fund accordance rule grant grow foster relationship ciber external business contact organize classify qualtric survey datum analytic client contact record file other asset lead end end logistic process executive event manage public relation inquire assist event planning,Business Intelligence
20,attain llc analyst federal service support edgar filer technical issue allow successful submission dissect error form find issue correct problem manage deletion internal edgar account track update performance hold attain sec,Business Intelligence
21,cyber threat analyst navy cyber defense operation command ncdoc suffolk responsible management navy department defense dod sensor endpoint collector grid provide coverage navy installation globe monitor would alert event enable visibility prevent compromise increase security posture perform deep packet inspection protocol log analysis provide clarity verification network event implement signature modification tune reduce egregious alerting improve efficiency provide incident management assure compliance statistical analysis endpoint system knowledgeable ip endpoint signature convention regular expression rule write execute multifacet analysis network protocol endpoint system datum mastery siem system perform datum correlation publish report,Business Intelligence
22,supervised mentor team junior analyst start project perform post award monitor financial analysis national science foundation nsf ensure awardee be compliant federal cfrs far omb circular nsf regulation reconcile review monthly project financial assist management annual budget cost proposal brief new account employee project serve subject matter expert awardee financial report single audits indirect cost rate icr proposal,Business Intelligence
23,senior business analyst project manager provide client side support naional cancer insitute nci center biomedical informaic informaion technology cbiit speciically cancer informaic semanic infrastructure enterprise vocabulary service service deputy program manager atain nci team provide contract subcontract management varying responsibiliie cbiit include not limit business analysis system requirement analysis system design wirefram analysis system capability research metadata repository management iso business case development use case development inancial management program project management duie project support cbiit include cancer datum standard registry repository cadsr joint nci metathesaurus enhancement maintenance environment meme naional clinical trial network nctn rdf triple store sparql end point project require hand experience knowledge clinical research ehr data datum management addiional support tran nih iniiaif include common datum element cde big datum knowledge pcortf common datum model harmonizaion project responsible request informaion rfi foa development analysis cbiit addiion other engagement aciviie bioinformaic community management applicaion development sotware engineering aciviie adhere eplc cpic far other relevant government regulaion full lifecycle consul atain heavy focus business development proposal aciviie conduct month long project management training atain teammate director atain bioinformaic community pracice,Business Intelligence
24,senior incident response security analyst utilize sysinternal epolicy orchestrator nessus splunk perform analysis host machine server enterprise network perform pcap packet capture open source forensic analysis malware vulnerability server workstation generate report executive leadership regard security event incident network create manage content rule use mcafee epo cisco firewall prevent successful attack enterprise network,IT & SD
25,direct infrastructure operation field operation deliver technology medexpress location support user oversee datacenter network server storage security control risk management disaster recovery business continuity plan voip telephony help desk support desktop technology software control process supervise multiple team consist people report directly administer budget conduct due diligence function establish standardized technology footprint new clinic support aggressive company growth initiate lead cloud datacenter migration strategy create scalability improve availability support company growth reduce major outage month re architect stabilize electronic medical record system docutap citrix storage environment emc lead facet design engineering optimized service delivery outsource partner enable internal team focus strategic business value add activity such design technology solution include telemedicine brainscope retinavue benson audiometer susan martin direct field operation team deploy secure scalable technology platform newly acquire construct clinic complete project time budget lead infrastructure workstream eclinicalwork deployment program design network connectivity implement single sign engineer pc image dein peripheral standard build support server storage infrastructure play integral role establish irst ever telemedicine clinic that enable consult be deliver globalm telemedicine solution lead design implementation technology support new business model collaborate information security department execute security solution compliance industry regulation,IT & SD
26,proficient test methodology train new personnel use performance tool instrumental get performance center site scope instal create repeatable documentation process template performance team proficient require skill set necessary alm performance testing tool web http html web service ajax database citrix other commonly use protocol perform testing independently include test planning requirement gather scripting execution result analysis create plan assign application include performance test management record tracking test metric defect issue impact result baseline stress endurance test report test result defect issue impact stakeholder develop enhance script loadrunner vugen use java web service develop evaluate improve project performance test strategy plan script development scenario creation test execution identify performance bottleneck hardware resource utilization issue environment component outline bottleneck slow response time relevant network architecture application information enable performance tune collaborate application development team channel be email bridge available resolve performance defect coordinate testing activity appropriate party development dba middleware assist other booz allen team trouble shoot loadrunner script award performance team team lead award high other bah team lead,IT & SD
27,role work development team where provide support system that host application tool also assist solution engineer work anticipation take large role position technical experience redhat linux troubleshoot administration docker installation configuration troubleshoot mariadb installation configurationin role be part application support team that be task provide tier support internal application use employee customer technical experience redhat linux troubleshoot administration window server troubleshoot administration smart configuration troubleshoot administration nagio monitor configuration,IT & SD
28,senior consultant network administrator responsible administration organization information system ip packet network include not limit data voice video security manage maintain network system include cisco network rout switch cisco wireless infrastructure bind microsoft dns cisco identity service engine ise create visio draw depict current netl network topo assist vtc team tandberg cisco telepresence video video control server control expressway cisco telepresence management suite tms assist team meridian pbx support consult voice circuit deployment maintenance monitor network performance application such solarwind cisco prime infrastructure perform network software upgrade include planning scheduling testing coordination governance standard monitor inbound network access outbound internet access use approve tool such splunk syslog server troubleshoot network performance issue interact doenet team provide onsite support provide netl end user service support approximately team member,IT & SD
29,help desk engineer information system help troubleshoot various issue various remote client provide excellent customer service treat customer patience dignity,IT & SD
30,responsible implement maintain tier support national institute environmental health science project involve hand experience citrix xenapp xendesktop citrix application layer workspace device manager xenmobile symantec endpoint protection dell wyse management suite thin client microsoft active directory ad group policy object gpo administration vmware vsphere vcenter deployment operation administration maintenance coordinate effort attain interface neihs contractor management end user publish various document include standard configuration document scd standard operating procedure sop how frequently ask question faq troubleshoot guide end user guide communication,IT & SD
31,policy cybersecurity analyst csam administrator department commerce doc responsible provide fisma report assistance user cyber security asset mangement csam tool as well monitor review assess security system generate monthly report track status close system as well monitor poa ms system conduct compliance check system ensure security documentation be accurate date serve csam administrator user bureaus department commerce provide assistance develop security baseline policy establish minimum standard bureaus department commerce conduct fisma assessment close system bureaus department commerce utilize fy fisma metric satisfay nist cyber security framework,IT & SD
32,administer application linux window server use assist internal client job build environment application integration new customer migration websphere jboss apache construct application new environment use jenkin continuous integration tool provide efficient build process create redundancy integration platform document troubleshooting process integration production environment identify redundant problem deliver fast resolution issue provide project status information team lead upper management involve project concern success deliver additional usda fsa management team,IT & SD
33,utilize sysinternal epolicy orchestrator nessus splunk perform analysis host machine server enterprise network perform pcap packet capture open source forensic analysis malware vulnerability server workstation generate report executive leadership regard security event incident network create manage content rule use mcafee epo cisco firewall prevent successful attack enterprise network,IT & SD
34,provide tier service desk support staff provide friendly expert support high profile government customer identify use appropriate priority level log incident request set criticality level engage proper team resolution develop documentation work instruction process report,IT & SD
35,functional team lead multi site geographically disperse network operation team large federal customer oversee daily network operation include capacity plan resource allocation maintain network service level support customer mission,IT & SD
36,zenwork administration team lead national archive record administration monitor maintain window workstation window server administer novell zenwork configuration management implementation nara directly maintain deployment critical patch system security team requirement oversee development delivery require quarterly image workstation oversee development deployment application bundle workstation oversee development deployment policy bundle workstation server serve novell team peer adviser plan test deploy upgrade nara system participate weekly technical review change management meeting participate weekly security meeting insure compliance customer security standard hold weekly zen team meet provide weekly team activity report management handle help desk ticket relate zenwork configuration management issue,IT & SD
37,provide superior customer service directly secretary veteran affair secretary veteran health administration numerous other top rank official veteran affair organizational structure responsible primary active directory account creation domain right management play vital role enterprise wide rollout microsoft lync messenger responsible be primary point contact work vendor lync messenger autonomy archive system microsoft task take most challenging technical customer service relate issue scope use superior problem solve skill plan coordination execution region wide window upgrade display attention detail daily basis when address issue pertain active directory microsoft office troubleshoot superior use oral communication skill relay vital time sensitive information customer supervisor other support group daily basis show willingness work night weekend go extra mile assist other technician team accomplish goal set management maintain clear accurate note ca service desk ticket system,IT & SD
38,system administrator imagenow manage file transfer tool usaccess application provide technical support wide variety cot commercial shelf software application sec experience provide quick immediate resolution step case outage application provide trouble shoot step work closely different team include unix admin window admin network engineering storage project management team experience use unix command read log file troubleshoot issue analyze application problem technical functional perspective take accountability provide solution responsible provide root analysis responsible assess scope characteristic application cot team would take facilitate meeting sec client understand requirement ne take new application have opportunity manage application operation support maintenance critical federal govt application support disaster recovery activity include application validation nf mount validation involve unix window patch activity include application validation nf mount validation be introduce project manager multiple application involve training mentor new team member provide guidance necessary resolve issue incorporate business technology support full sdlc life cycle,IT & SD
39,serve senior program manager maximus contract department labor be consolidaion contract successfully consolidate operaion subordinate agency dol ocio organizaion aciviie include co loca staf adop standard opera procedure conduce many technology service consolidaion project such network refresh consolidaion acive directory consolidaion datum center consolidaion various operaing system datum base upgrade migraion excepion service desk person strong team provide aspect service delivery end user uiliz wide range technology,IT & SD
40,technical lead operation system development cloud service group provide datum management solution application management enterprise customer design implement budget auditing web application java javascript use spring hibernate framework tomcat application server develop custom etl automation shell python script various datum source target environment oracle sqlserver mysql hbase develop analyze optimize datum model that support report development provide architecture deployment administration oracle business intelligence application environment operation report development team provide architecture deployment administration ctera cloud file service product openstack environment develop python base sftp service layer top cloud drive environment restful apis specified jira process workflow management operation provide mentor staff member,IT & SD
41,department education be currently use oracle ebs financial system edcap process upgrade support current oracle application identity management cogno hyperion various application base oracle fusion middleware technology sunflower comprizon suite interact hardware support team identify requirement ensure timely delivery underlie architecture provide maintenance support ebs environment ensure be stable run late feasible patchset upgrade edcap database application database platform migration application database linux work proof concept oracle grc edcap initiative segregation duty support rac enable instance ibm linux platform upgrade application migrate application linux oracle clusterware database patch set upgrade database application character set conversation ascii implement oracle grc proof concept edcap provide role base access control rbac work member application development team design integrate application role base access control system rbac work member application development team resolve highly complex business issue relate role base access control rbac system implement full suite oracle governance risk compliance product aacg ccg tcg pcg actively work various business process module include general ledger account payable support internal system sunflower grant management system hyperion apex perform quarterly password change analysis application quarterly psu cpu patch support oracle access manager solution single sign factor authentication use card support different oracle fusion middleware software include hyperion cogno sunflower implement ssl renew ssl certificate use oracle wallet manager support core dba activity non ebs environment support internal system sunflower grant management system hyperion apex cogno oracle report complete encryption use tde datum rest column level ebs encrypt legacy database column tablespace level,IT & SD
42,work capacity lead test engineer test engineer various project usda test engineer crm microsoft car project usda test engineer acrsi application lead test engineer margin protection program application test module program include production history contract payment test engineer mgldp testing payment enhancement test engineer farm record replication web web service listener testing test engineer tap lfp lip system lead test engineer scim midas project conversion java sap involve requirement phase production application work midas parmo team lead test engineer crp cpf project work different team test engineer coverage unit maintenance nap application create update test plan test script requirement traceability matrix project create functional integration test script validate business requirement system specification extensively use xml testing backend validation work sopa extensively test web service external system work security testing application various standard policy government use jira track work order tract defect user story work developer defect analysis identify create track retest close defect release extensively interact developer business analyst management team understand create test script use business requirement specification extensively use sql query backend testing datum validation datum use quality center create manage test case mida project give demo multiple project flow application maintain structured document entire project test script defect report test datum perform compliance test various web application submit daily weekly report project update defect mentor new tester various project domain extensively use microsoft office tool excel word test script creation report win award delivery excellence,IT & SD
43,provide excellent business residential customer break ix hardware installation dell computer desktop laptop diagnose troubleshot computer system printer replace motherboard desktop laptop port hard drive site repair do quickly eiciency troubleshot resolve client issue software hardware roll installation assemble hardware troubleshoot pc desktop laptop provide technical support helpdesk phone email walkup user replace average motherboard daily technical time ticket minute manage pc maintenance system desktop support upgrade workstation instal operation system troubleshoot hardware software problem image new laptop desktop company window operate system work ticket assign schedule follow corporate administrative procedure correctly include documentation follow client,IT & SD
44,provide netl conference room support service morgantown building non video room director oice innovaion center dr kimberl cart mgn oice work independently maintain close highly responsive relaionship day day aciviie netl client develop maintain require process scheduling conference room documan user requirement provision service write instrucion conference room system provide periodic end user training help user team member calendar mapping name drive conf room adhere netl require opera procedure conference room conference center system test trouble shoot hardware sotware problem resolve connecion operaional issue work local scheduling staf recepionist director oice support staf requestor requestor support staf resolve room mee scheduling conlict work headquarter daily basis get room coordinate get dial informaion mee several site can connect have mee capture document end user requirement include meeing logisic requirement schedule mee service video bridge audio bridging web conferencing support end user requirement muliple conference room conference center coordinate set morgantown pitsburgh albany conference center end user requirement entail oversight muliple conference room same ime ensure precise organizaion execuion meeing event detail operate collaboraive conference center system video system projector display computer phone collaboraion smart board cable satellite television system audio visual system groupwise email scheduling system audio bridge video bridge mee provide audio visual web conference net mee video logisical support include scheduling video session designate room mee use video bridging service ensure follow room be properly set system operaional minute earlier prior schedule meeing start ime involve seing table chair support staf be available assist paricipant unil meeing begin include conduce video teleconference session which may include conference preparaion monitor vtc equipment system performance repor equipment network problem appropriate parie maintenance repair,IT & SD
45,develop modify test front end back end feature web application use asp net javascript ajax sql work agile team environment utilize scrum software development life cycle collaborate product manager subject matter expert enhance product improve  skill developer team base training resource such pluralsight,IT & SD
46,program name nih health practice federal program customer client name national institute health nih location rockville md role software engineering manager senior technical lead support technical initiative nida adit contract include modernization exist legacy application java base system design develop deploy enterprise wide application use ooad architecture spring framework hibernate orm spring mvc jquery hand development application module nep redesign project be mission critical grant management system nida manage deliver cas redesign project be conference approval system nida use user maintain tomcat server environment dev test stage attend business level discussion provide input feedback need conduct demo nida business user community migrate support modify component test environment user test collaborate federal manager planning execution redesign project effect manage application development team serve liaison role csra federal government mentor other developer need support testing team provide necessary clarification lead support various critical nida application engineer infrastructure application work load migration cloud build jenkin service cloud infrastructure author numerous automation task use lambda cloud watch config trust advisor execute technical task set stage environment scratch extensively advocate agile methodology play key role implement scrum model tool technology java javascript spring hibernate web service servlet html xml tomcat intellij edit cloud service active log oracle sql jenkin ansible toad drool python,IT & SD
47,create profile system graduate student use python backend html front end revise student activity report system use python angularjs,IT & SD
48,analyst desktop support apple support team lead tier maintain osx casper server jss resolve window mac support issue utilize excellent customer service skill intricate problem solve technical thinking ensure customer satisfaction responsible stability integrity functionality pc mac computer equipment peripheral device create update pc mac computer image base standard scope objective responsible placement replacement computer equipment maintain accurate inventory asset management system provide incident management prioritization resolution problem task computer user demonstrate strong technical knowledge standard software application ms office suite lotus note operate system osx window window window assist evaluation implementation new technology assist document policy procedure,IT & SD
49,develop implement sevatec innovation center that be focus cloud service cyber engineer datum analytic agile devsecop provide technical leadership client delivery team proposal effort customer manage solution architect developer dedicate business development support asset accelerator development develop solution use microservice java devop use jira manage aslam nawabzada agile development project utilize jenkin maven selenium puppet tool build cd pipeline develop execute vendor alliance program that include servicenow microsoft cloud databrick lead manage sevatec internal department,IT & SD
50,project manager attain llc develop lead team helpdesk professional address technical application base requirement worker professional staff member use organization create scheduling help desk specialist team include database analyst application specialist budget contract staff performance multiple project dollar take escalation complicated support customer complaint issue oversee new application implementation work staff customize application development project contact development staff need work multiple government customer application team development team infrastructure team business stakeholder identify business need requirement coordinate monitor project development lifecycle ensure be schedule scope work branch chief project team lead project team maintain project plan prepare recommendation adjust project plan branch chief emergency work customer perform risk identification analysis prevention mitigation problem solve generate weekly monthly report team progress support issue develop metric template evaluate support issue response time team develop training program help staff stay abreast new industry practice help preparation department change management procedure also facilitate hire termination process contract staff write technical document standard operate procedure sop policy create conjunction customer ensure helpdesk associate answer call employee telephone email troubleshoot resolve software application problem issue motivate team adhere good practice deliver outstanding customer service satisfaction employee nationwide location facilitate improvement session implement team incentive plan lead team exceed service level agreement last project percent margin goal percent outcome percent prepare performance status report review upper level management responsible recruit interview board employee retention responsible accuracy team time entry approval use tek timekeep software implement monitor policy procedural change adhere contract policy procedure direct report branch chief configuration management standard compliance rural development supervisor robert turnure may contact phone email,IT & SD
51,network manager manage engineering operation team total direct eric schonbachler report consolidated process segregate support contract include employee boarding change incident problem management work upper management successfully create business process become iso certii manage team project schedule capex procurement lead engineer implementation follow project build replacement vmware horizon view vdi environment user include redesign way desktop be build manage time eric schonbachler storage space rollout factor authentication window client layer user implementation infrastructure monitoring system cross forest pki,IT & SD
